model,dataset,accuracy,f1_score,precision,recall
RF,roberta_review_vector_lemmatized,0.8420444444444445,0.8419668896336853,0.8427425074800681,0.8420444444444445
RF,roberta_review_vector_lemmatized_no_sw,0.8291111111111111,0.8290708265893258,0.8294390263949211,0.8291111111111111
ANN,google_word2vec_review_vector_tokenized,0.8384,0.8383225556210291,0.8390745253161973,0.8384
ANN,google_word2vec_review_vector_no_stopwords,0.8361777777777778,0.8361744621199287,0.8362103971468432,0.8361777777777778
ANN,google_word2vec_review_vector_stemmed_no_sw,0.7838,0.7820921298199807,0.7930816174805845,0.7838
ANN,google_word2vec_review_vector_stemmed,0.8000444444444444,0.7999820380914526,0.800400854953782,0.8000444444444444
ANN,google_word2vec_review_vector_lemmatized,0.8348222222222222,0.8347910817207079,0.8350905292193215,0.8348222222222222
ANN,google_word2vec_review_vector_lemmatized_no_sw,0.8284888888888889,0.8281106510336913,0.8314586324246358,0.8284888888888889
ANN,self_trained_word2vec_review_vector_tokenized,0.8786222222222222,0.8786111003100783,0.8787726498348102,0.8786222222222222
ANN,self_trained_word2vec_review_vector_no_stopwords,0.8762666666666666,0.8762166160501598,0.8769001451088352,0.8762666666666666
ANN,self_trained_word2vec_review_vector_stemmed_no_sw,0.8467777777777777,0.8466814605709777,0.8476801434699633,0.8467777777777777
ANN,self_trained_word2vec_review_vector_stemmed,0.8468222222222223,0.8467480663854854,0.8475200834445116,0.8468222222222223
ANN,self_trained_word2vec_review_vector_lemmatized,0.866,0.8659813542772663,0.8662178159636681,0.866
ANN,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8714888888888889,0.8714820753126434,0.8715765450199562,0.8714888888888889
ANN,roberta_review_vector_tokenized,0.8908444444444444,0.8908407844422696,0.8908903756785808,0.8908444444444444
ANN,roberta_review_vector_no_stopwords,0.8689111111111111,0.8689102242982236,0.8689245182768578,0.8689111111111111
ANN,roberta_review_vector_stemmed_no_sw,0.8230888888888889,0.8230828194725384,0.823140036543184,0.8230888888888889
ANN,roberta_review_vector_stemmed,0.8703777777777778,0.8703777489088269,0.870379165083751,0.8703777777777778
ANN,roberta_review_vector_lemmatized,0.8860888888888889,0.8860703002170278,0.8863565316443289,0.8860888888888889
ANN,roberta_review_vector_lemmatized_no_sw,0.8564444444444445,0.8563122543622594,0.8577961539534813,0.8564444444444445
