model,dataset,accuracy,f1_score,precision,recall
SVM,google_word2vec_review_vector_tokenized,0.8418888888888889,0.8418750006001521,0.8420199504938872,0.8418888888888889
SVM,google_word2vec_review_vector_no_stopwords,0.8426,0.8425793192739343,0.8427933926351595,0.8426
SVM,google_word2vec_review_vector_stemmed_no_sw,0.8052888888888889,0.8052231268516958,0.8057218650036084,0.8052888888888889
SVM,google_word2vec_review_vector_stemmed,0.8060888888888889,0.8060831623766039,0.8061312600603492,0.8060888888888889
SVM,google_word2vec_review_vector_lemmatized,0.8376,0.8375851191992041,0.837734845524226,0.8376
SVM,google_word2vec_review_vector_lemmatized_no_sw,0.8373777777777778,0.8373519740601995,0.8376064615540119,0.8373777777777778
SVM,self_trained_word2vec_review_vector_tokenized,0.8777777777777778,0.8777614060177865,0.8779942231372956,0.8777777777777778
SVM,self_trained_word2vec_review_vector_no_stopwords,0.8793111111111112,0.8792829071699729,0.8796842632267841,0.8793111111111112
SVM,self_trained_word2vec_review_vector_stemmed_no_sw,0.8502888888888889,0.8502128520664568,0.8510275961763519,0.8502888888888889
SVM,self_trained_word2vec_review_vector_stemmed,0.8508444444444444,0.8508017929428483,0.8512656794486545,0.8508444444444444
SVM,self_trained_word2vec_review_vector_lemmatized,0.8736666666666667,0.8736361040745354,0.8740470499841821,0.8736666666666667
SVM,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8753777777777778,0.8753400500116831,0.8758534823657285,0.8753777777777778
SVM,roberta_review_vector_tokenized,0.8366888888888889,0.8366380487355387,0.837128623180939,0.8366888888888889
SVM,roberta_review_vector_no_stopwords,0.8245555555555556,0.8245166736886642,0.8248274385260662,0.8245555555555556
SVM,roberta_review_vector_stemmed_no_sw,0.7822,0.7820113148319011,0.7831499914021296,0.7822
SVM,roberta_review_vector_stemmed,0.8215777777777777,0.8215714690091325,0.8216301550754069,0.8215777777777777
SVM,roberta_review_vector_lemmatized,0.8329555555555556,0.8329539572784771,0.8329721243660331,0.8329555555555556
SVM,roberta_review_vector_lemmatized_no_sw,0.8220666666666666,0.8220272332140766,0.8223363901936948,0.8220666666666666
RF,google_word2vec_review_vector_tokenized,0.7938666666666667,0.7937901445299135,0.7943243003951401,0.7938666666666667
RF,google_word2vec_review_vector_no_stopwords,0.7962666666666667,0.7961713966171086,0.7968449693886901,0.7962666666666667
RF,google_word2vec_review_vector_stemmed_no_sw,0.7564,0.7563120568233553,0.7567901893890333,0.7564
RF,google_word2vec_review_vector_stemmed,0.7535555555555555,0.7534759071754812,0.7539020859017279,0.7535555555555555
RF,google_word2vec_review_vector_lemmatized,0.7872,0.7871242512294757,0.7876295529113444,0.7872
RF,google_word2vec_review_vector_lemmatized_no_sw,0.7914444444444444,0.791341015089051,0.7920473572837576,0.7914444444444444
RF,self_trained_word2vec_review_vector_tokenized,0.8319333333333333,0.8317756077496461,0.8332173821580282,0.8319333333333333
RF,self_trained_word2vec_review_vector_no_stopwords,0.8360666666666666,0.8358367927062358,0.8380019881682149,0.8360666666666666
RF,self_trained_word2vec_review_vector_stemmed_no_sw,0.8024,0.802093500551267,0.8043277715677705,0.8024
RF,self_trained_word2vec_review_vector_stemmed,0.7951777777777778,0.7949672678826205,0.7964295250930348,0.7951777777777778
RF,self_trained_word2vec_review_vector_lemmatized,0.8264666666666667,0.8262787794486034,0.8279219561734366,0.8264666666666667
RF,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8284666666666667,0.8282186396974404,0.8304173551768348,0.8284666666666667
RF,roberta_review_vector_tokenized,0.8449111111111111,0.8447839728800596,0.8460776486348713,0.8449111111111111
RF,roberta_review_vector_no_stopwords,0.8345555555555556,0.8345120245068619,0.8349263864783955,0.8345555555555556
RF,roberta_review_vector_stemmed_no_sw,0.7944666666666667,0.7943977525637016,0.7948817772990092,0.7944666666666667
RF,roberta_review_vector_stemmed,0.8293333333333334,0.8292351753802999,0.8301192565597558,0.8293333333333334
