model,dataset,accuracy,f1_score,precision,recall,round,Delta A-F1,Delta A-P,Delta A-R
SVM,self_trained_word2vec_review_vector_stemmed,0.850844444,0.850801793,0.851265679,0.850844444,2,4.26515E-05,-0.000421235,0
SVM,self_trained_word2vec_review_vector_stemmed,0.850777778,0.850777411,0.850782288,0.850777778,3,3.66756E-07,-4.51069E-06,0
SVM,self_trained_word2vec_review_vector_stemmed_no_sw,0.850288889,0.850212852,0.851027596,0.850288889,2,7.60368E-05,-0.000738707,0
SVM,self_trained_word2vec_review_vector_stemmed_no_sw,0.849355556,0.849351148,0.849425811,0.849355556,1,4.4079E-06,-7.02557E-05,0
ANN,self_trained_word2vec_review_vector_stemmed_no_sw,0.8486,0.848595644,0.848669264,0.8486,1,4.35554E-06,-6.92639E-05,0
RF,roberta_review_vector_lemmatized,0.848333333,0.848303511,0.848616039,0.848333333,3,2.9822E-05,-0.000282706,0
SVM,self_trained_word2vec_review_vector_stemmed,0.8474,0.847396258,0.847461461,0.8474,1,3.74166E-06,-6.1461E-05,0
ANN,self_trained_word2vec_review_vector_stemmed_no_sw,0.8472,0.847109973,0.848034473,0.8472,3,9.00269E-05,-0.000834473,0
ANN,self_trained_word2vec_review_vector_stemmed,0.846822222,0.846748066,0.847520083,0.846822222,2,7.41558E-05,-0.000697861,0
ANN,self_trained_word2vec_review_vector_stemmed_no_sw,0.846777778,0.846681461,0.847680143,0.846777778,2,9.63172E-05,-0.000902366,0
SVM,roberta_review_vector_tokenized,0.845933333,0.845912842,0.846124497,0.845933333,3,2.04914E-05,-0.000191164,0
ANN,self_trained_word2vec_review_vector_stemmed,0.845733333,0.845608069,0.846741813,0.845733333,1,0.000125264,-0.00100848,0
SVM,google_word2vec_review_vector_tokenized,0.845533333,0.845533316,0.845533367,0.845533333,3,1.7163E-08,-3.33168E-08,0
RF,roberta_review_vector_tokenized,0.844911111,0.844783973,0.846077649,0.844911111,2,0.000127138,-0.001166538,0
SVM,google_word2vec_review_vector_no_stopwords,0.842733333,0.842729336,0.842771309,0.842733333,3,3.997E-06,-3.79754E-05,0
SVM,google_word2vec_review_vector_tokenized,0.842622222,0.842616162,0.842653369,0.842622222,1,6.06044E-06,-3.11469E-05,0
SVM,google_word2vec_review_vector_no_stopwords,0.8426,0.842579319,0.842793393,0.8426,2,2.06807E-05,-0.000193393,0
RF,roberta_review_vector_lemmatized,0.842044444,0.84196689,0.842742507,0.842044444,2,7.75548E-05,-0.000698063,0
ANN,google_word2vec_review_vector_tokenized,0.842044444,0.84203361,0.842107957,0.842044444,1,1.0834E-05,-6.35126E-05,0
SVM,google_word2vec_review_vector_tokenized,0.841888889,0.841875001,0.84201995,0.841888889,2,1.38883E-05,-0.000131062,0
SVM,google_word2vec_review_vector_lemmatized,0.841177778,0.841166277,0.841271635,0.841177778,3,1.15008E-05,-9.38576E-05,0
SVM,roberta_review_vector_lemmatized,0.840822222,0.840819709,0.840841479,0.840822222,3,2.51364E-06,-1.9257E-05,0
SVM,google_word2vec_review_vector_no_stopwords,0.840644444,0.840643641,0.840667688,0.840644444,1,8.03232E-07,-2.32432E-05,0
RF,self_trained_word2vec_review_vector_no_stopwords,0.839955556,0.83987167,0.840683228,0.839955556,3,8.38857E-05,-0.000727672,0
SVM,google_word2vec_review_vector_lemmatized_no_sw,0.838822222,0.838811389,0.838918332,0.838822222,3,1.08332E-05,-9.611E-05,0
ANN,google_word2vec_review_vector_tokenized,0.8384,0.838322556,0.839074525,0.8384,2,7.74444E-05,-0.000674525,0
SVM,google_word2vec_review_vector_lemmatized,0.8376,0.837585119,0.837734846,0.8376,2,1.48808E-05,-0.000134846,0
SVM,google_word2vec_review_vector_lemmatized,0.837444444,0.837435534,0.837491944,0.837444444,1,8.91074E-06,-4.74997E-05,0
SVM,google_word2vec_review_vector_lemmatized_no_sw,0.837377778,0.837351974,0.837606462,0.837377778,2,2.58037E-05,-0.000228684,0
ANN,google_word2vec_review_vector_no_stopwords,0.837022222,0.837000129,0.837260118,0.837022222,1,2.20933E-05,-0.000237896,0
SVM,roberta_review_vector_tokenized,0.836688889,0.836638049,0.837128623,0.836688889,2,5.08402E-05,-0.000439734,0
ANN,google_word2vec_review_vector_no_stopwords,0.836177778,0.836174462,0.836210397,0.836177778,2,3.31566E-06,-3.26194E-05,0
