model,dataset,accuracy,f1_score,precision,recall
SVM,google_word2vec_review_vector_tokenized,0.8455333333333334,0.8455333161703651,0.8455333666500932,0.8455333333333334
SVM,google_word2vec_review_vector_no_stopwords,0.8427333333333333,0.8427293363354567,0.8427713087733395,0.8427333333333333
SVM,google_word2vec_review_vector_stemmed_no_sw,0.8050666666666667,0.805059339608827,0.8051161523263598,0.8050666666666667
SVM,google_word2vec_review_vector_stemmed,0.8068444444444445,0.8068437775065236,0.80684771341827,0.8068444444444445
SVM,google_word2vec_review_vector_lemmatized,0.8411777777777778,0.8411662770041566,0.8412716354098083,0.8411777777777778
SVM,google_word2vec_review_vector_lemmatized_no_sw,0.8388222222222222,0.8388113890252765,0.8389183321722999,0.8388222222222222
SVM,self_trained_word2vec_review_vector_tokenized,0.8774888888888889,0.8774867316299442,0.8775182105505166,0.8774888888888889
SVM,self_trained_word2vec_review_vector_no_stopwords,0.8802,0.8801910509196753,0.8803191534953603,0.8802
SVM,self_trained_word2vec_review_vector_stemmed_no_sw,0.8521777777777778,0.8521674615057098,0.8522812829025327,0.8521777777777778
SVM,self_trained_word2vec_review_vector_stemmed,0.8507777777777777,0.8507774110219972,0.850782288464778,0.8507777777777777
SVM,self_trained_word2vec_review_vector_lemmatized,0.8752,0.875199991864889,0.8752004020971433,0.8752
SVM,self_trained_word2vec_review_vector_lemmatized_no_sw,0.8768444444444444,0.8768418170740273,0.8768795978036049,0.8768444444444444
SVM,roberta_review_vector_tokenized,0.8459333333333333,0.8459128419546357,0.8461244972956367,0.8459333333333333
SVM,roberta_review_vector_no_stopwords,0.8227555555555556,0.8226640915175978,0.8234095827856673,0.8227555555555556
SVM,roberta_review_vector_stemmed_no_sw,0.784,0.7838195877348891,0.7849351482479785,0.784
SVM,roberta_review_vector_stemmed,0.8280888888888889,0.8280888888888889,0.828089098262501,0.8280888888888889
SVM,roberta_review_vector_lemmatized,0.8408222222222222,0.8408197085848398,0.8408414791988401,0.8408222222222222
SVM,roberta_review_vector_lemmatized_no_sw,0.8197111111111111,0.81958002203623,0.8206273355961017,0.8197111111111111
RF,google_word2vec_review_vector_tokenized,0.7923111111111111,0.7922796349953248,0.7924954371406024,0.7923111111111111
RF,google_word2vec_review_vector_no_stopwords,0.8006444444444445,0.8005987845660605,0.8009287959511554,0.8006444444444445
