model,dataset,accuracy,f1_score,precision,recall
SVM,self_trained_word2vec_review_vector_tokenized,0.8868857142857143,0.8868848242331105,0.886904439599194,0.8868857142857143
SVM,self_trained_word2vec_review_vector_lemmatized,0.8840285714285714,0.8840260593023065,0.8840718861403369,0.8840285714285714
SVM,roberta_review_vector_tokenized,0.8746,0.874587207516215,0.8747731530842511,0.8746
SVM,roberta_review_vector_lemmatized,0.8682,0.8681950188781125,0.8682683282283162,0.8682
ANN,self_trained_word2vec_review_vector_tokenized,0.8811428571428571,0.8811173527902202,0.8814993234118255,0.8811428571428571
ANN,self_trained_word2vec_review_vector_lemmatized,0.5005428571428572,0.333936682506739,0.2505431518367347,0.5005428571428572
ANN,roberta_review_vector_tokenized,0.4994571428571429,0.3327303334267912,0.24945743755102043,0.4994571428571429
ANN,roberta_review_vector_lemmatized,0.5005428571428572,0.333936682506739,0.2505431518367347,0.5005428571428572
