model,dataset,accuracy,f1_score,precision,recall
SVM,self_trained_word2vec_review_vector_tokenized,0.7714857142857143,0.7711874735957784,0.773006977614342,0.7714857142857143
SVM,self_trained_word2vec_review_vector_lemmatized,0.7636571428571428,0.7632665720846558,0.7655181308664465,0.7636571428571428
SVM,roberta_review_vector_tokenized,0.8122,0.8120895743044491,0.8130057194107985,0.8122
SVM,roberta_review_vector_lemmatized,0.8080571428571428,0.8079035984063018,0.8091262823394735,0.8080571428571428
ANN,self_trained_word2vec_review_vector_tokenized,0.8731142857142857,0.8729755618816493,0.8746544490012864,0.8731142857142857
ANN,self_trained_word2vec_review_vector_lemmatized,0.8764285714285714,0.8763651922583267,0.8771363643751401,0.8764285714285714
ANN,roberta_review_vector_tokenized,0.8901142857142857,0.8900931744571203,0.8903744555710117,0.8901142857142857
ANN,roberta_review_vector_lemmatized,0.8888,0.888794316861316,0.8889040531950828,0.8888
